Serial Number,Name,Symptoms
0,Pulmonary hypertension,"Shortness of breath (dyspnea), initially while exercising and eventually while at rest,Fatigue,Dizziness or fainting spells (syncope),Chest pressure or pain,Swelling (edema) in your ankles, legs and eventually in your abdomen (ascites),Bluish color to your lips and skin (cyanosis),Racing pulse or heart palpitations,"
1,Bacterial vaginosis,"Thin, gray, white or green vaginal discharge,Foul-smelling ""fishy"" vaginal odor,Vaginal itching,Burning during urination,"
2,Premature birth,"Small size, with a disproportionately large head,Sharper looking, less rounded features than a full-term baby's features, due to a lack of fat stores,Fine hair (lanugo) covering much of the body,Low body temperature, especially immediately after birth in the delivery room, due to a lack of stored body fat,Labored breathing or respiratory distress,Lack of reflexes for sucking and swallowing, leading to feeding difficulties,"
3,Seizures,"Temporary confusion,A staring spell,Uncontrollable jerking movements of the arms and legs,Loss of consciousness or awareness,Cognitive or emotional symptoms, such as fear, anxiety or deja vu,"
4,Trigeminal neuralgia,"Episodes of severe, shooting or jabbing pain that may feel like an electric shock,Spontaneous attacks of pain or attacks triggered by things such as touching the face, chewing, speaking or brushing teeth,Bouts of pain lasting from a few seconds to several minutes,Episodes of several attacks lasting days, weeks, months or longer — some people have periods when they experience no pain,Constant aching, burning feeling that may occur before it evolves into the spasm-like pain of trigeminal neuralgia,Pain in areas supplied by the trigeminal nerve, including the cheek, jaw, teeth, gums, lips, or less often the eye and forehead,Pain affecting one side of the face at a time, though may rarely affect both sides of the face,Pain focused in one spot or spread in a wider pattern,Attacks that become more frequent and intense over time,"
5,Thalassemia,"Fatigue,Weakness,Pale or yellowish skin,Facial bone deformities,Slow growth,Abdominal swelling,Dark urine,"
6,Acne,"Whiteheads (closed plugged pores),Blackheads (open plugged pores),Small red, tender bumps (papules),Pimples (pustules), which are papules with pus at their tips,Large, solid, painful lumps beneath the surface of the skin (nodules),Painful, pus-filled lumps beneath the surface of the skin (cystic lesions),"
7,Typhoid fever,"Fever that starts low and increases daily, possibly reaching as high as 104.9 F (40.5 C),Headache,Weakness and fatigue,Muscle aches,Sweating,Dry cough,Loss of appetite and weight loss,Abdominal pain,Diarrhea or constipation,Rash,Extremely swollen abdomen,"
8,Patellofemoral pain syndrome,"Walk up or down stairs,Kneel or squat,Sit with a bent knee for long periods of time,"
9,Rhabdomyosarcoma,"Headache,Bulging or swelling of the eyes,Bleeding in the nose, throat or ears,"
10,Scorpion sting,"Pain, which can be intense,Numbness and tingling,Slight swelling,Warmth,"
11,Jellyfish stings,"Burning, prickling, stinging pain,Red, brown or purplish tracks on the skin — a ""print"" of the tentacles' contact with your skin,Itching,Swelling,Throbbing pain that radiates up a leg or an arm,"
12,Low sex drive in women,"Having no interest in any type of sexual activity, including masturbation,Never or only seldom having sexual fantasies or thoughts,Being concerned by your lack of sexual activity or fantasies,"
13,Shaken baby syndrome,"Extreme fussiness or irritability,Difficulty staying awake,Breathing problems,Poor eating,Vomiting,Pale or bluish skin,Seizures,Paralysis,Coma,"
14,Sarcoma,"A lump that can be felt through the skin that may or may not be painful,Bone pain,A broken bone that happens unexpectedly, such as with a minor injury or no injury at all,Abdominal pain,Weight loss,"
15,Pityriasis rosea,"Severe itching,On dark skin, lasting brown spots after the rash has healed,"
16,Growing pains,"Symptoms & causes,Diagnosis & treatment,"
17,Tetanus,"
Tetanus shots: Is it risky to receive 'extra' boosters?
,"
18,Hurthle cell cancer,"A lump in your neck, just below your Adam's apple,Pain in your neck or throat,Hoarseness or other changes in your voice,Shortness of breath,Swallowing difficulty,"
19,Knee pain,"Swelling and stiffness,Redness and warmth to the touch,Weakness or instability,Popping or crunching noises,Inability to fully straighten the knee,"
20,Lichen sclerosus,"Redness,Itching (pruritus), which can be severe,Discomfort or pain,Smooth white patches on your skin,Blotchy, wrinkled patches,Tearing or bleeding,In severe cases, bleeding, blistering or ulcerated sores,Painful sex,"
21,Diarrhea,"Loose, watery stools,Abdominal cramps,Abdominal pain,Fever,Blood in the stool,Mucus in the stool,Bloating,Nausea,Urgent need to have a bowel movement,"
22,Mitral valve disease,"Abnormal heart sound (heart murmur) heard through a stethoscope,Fatigue,Shortness of breath, particularly when you have been very active or when you lie down,Irregular heartbeat,"
23,Thrombocytosis,"Headache,Dizziness or lightheadedness,Chest pain,Weakness,Numbness or tingling of the hands and feet,"
24,Bartholin's cyst,"A tender, painful lump near the vaginal opening,Discomfort while walking or sitting,Pain during intercourse,Fever,"
25,Cancer,"Fatigue,Lump or area of thickening that can be felt under the skin,Weight changes, including unintended loss or gain,Skin changes, such as yellowing, darkening or redness of the skin, sores that won't heal, or changes to existing moles,Changes in bowel or bladder habits,Persistent cough or trouble breathing,Difficulty swallowing,Hoarseness,Persistent indigestion or discomfort after eating,Persistent, unexplained muscle or joint pain,Persistent, unexplained fevers or night sweats,Unexplained bleeding or bruising,"
26,Rocky Mountain spotted fever,"High fever,Chills,Severe headache,Muscle aches,Nausea and vomiting,Confusion or other neurological changes,"
27,Primary aldosteronism,"Muscle cramps,Weakness,Fatigue,Headache,Excessive thirst,A frequent need to urinate,"
28,Vaginal cancer,"Unusual vaginal bleeding, for example, after intercourse or after menopause,Watery vaginal discharge,A lump or mass in your vagina,Painful urination,Frequent urination,Constipation,Pelvic pain,"
